Time	DO	OURex
min	mg/l	mg/l/min
32.5734383	8.20796466	-0.01908228
32.5895833	8.21151853	-0.01891902
32.60599	8.21068881	-0.0186528
32.6205733	8.21172725	-0.01882728
32.6354167	8.21385314	-0.01934748
32.6502617	8.2203711	-0.01942596
32.664845	8.22362607	-0.01871244
32.6794283	8.21523916	-0.01925544
32.696355	8.21581759	-0.0205398
32.7135417	8.22400829	-0.02031444
32.7299483	8.22605769	-0.0195306
32.746875	8.23121552	-0.01867668
32.7640633	8.23534391	-0.01717068
32.7791667	8.22899734	-0.01610268
32.7971367	8.22449004	-0.01626522
32.8127617	8.22381067	-0.0171867
32.83099	8.23180425	-0.0176712
32.8476567	8.24621252	-0.0162648
32.8627617	8.24640518	-0.01383486
32.8796883	8.24370052	-0.01160688
32.896875	8.2422745	-0.00928974
32.9135417	8.24009309	-0.00725124
32.9296883	8.2386251	-0.005832
32.9473967	8.23825097	-0.004236
32.964845	8.24110467	-0.002418
32.9794283	8.24626009	-0.001374
32.9973967	8.24008023	-0.001362
33.0138033	8.2342214	-0.002124
33.0302083	8.24701667	-0.002562
33.0458333	8.24591629	-0.002448
33.0625	8.2395433	-0.003258
33.0799483	8.24415712	-0.004068
33.096875	8.2506348	-0.004008
33.1138033	8.24624765	-0.004188
33.1299483	8.23747425	-0.005586
33.1476567	8.24461879	-0.00729264
33.164845	8.25228073	-0.0079527
33.18125	8.25659122	-0.00801102
33.196875	8.25368148	-0.00800574
33.215105	8.25388236	-0.0082899
33.2320317	8.25732214	-0.00806214
33.24974	8.25517177	-0.00766746
33.265625	8.25535681	-0.0083253
33.2820317	8.26269262	-0.00856974
33.2986983	8.2622655	-0.00833592
33.314845	8.25378951	-0.00914886
33.3322917	8.25810497	-0.01043082
33.3479167	8.26939354	-0.01038588
33.364845	8.27248244	-0.00912498
33.38047	8.26632617	-0.00797112
33.3979167	8.2606092	-0.00815112
33.4130217	8.2647098	-0.00908832
33.4299483	8.2661194	-0.0098349
33.446355	8.26129453	-0.01089336
33.4630217	8.26208142	-0.0125139
33.4802083	8.26730215	-0.0138492
33.4971367	8.26306596	-0.01497546
33.52448	8.26358287	-0.01640202
33.540365	8.27578439	-0.01735992
33.5570317	8.279921	-0.01729674
33.5729167	8.27783302	-0.01697064
33.590105	8.28145439	-0.01646634
33.60573	8.29093093	-0.01530702
33.6221367	8.29217713	-0.01349112
33.6393233	8.29117879	-0.01172268
33.65625	8.28828238	-0.01033728
33.6731783	8.29117257	-0.00901842
33.690625	8.29945489	-0.00677364
33.7065117	8.29302913	-0.004344
33.7236983	8.29064939	-0.003042
33.7393233	8.29185136	-0.002286
33.7539067	8.28675032	-0.00171
33.7695317	8.28525417	-0.001362
33.7856783	8.2937771	-0.001092
33.8020833	8.29969253	5.59E-05
33.81823	8.29476754	0.00195
33.834375	8.28640457	0.002658
33.8502617	8.28861344	0.002394
33.8671883	8.29800881	0.002748
33.8830733	8.29633723	0.003744
33.8986983	8.29248845	0.004044
33.915625	8.28524697	0.003198
33.93099	8.28449175	0.001548
33.946355	8.29039972	0.0004524
33.9627617	8.29160726	0.0004704
33.98073	8.29512311	0.00069
33.996875	8.30128939	0.00138
34.0135417	8.30516109	0.002964
34.03047	8.30441031	0.004536
34.0476567	8.30362275	0.00603072
34.064845	8.30799176	0.00784212
34.08125	8.30530879	0.00911364
34.0979167	8.30746664	0.00972852
34.1145833	8.30981606	0.01045548
34.13099	8.29962148	0.01025838
34.1484383	8.29899195	0.00888222
34.165625	8.30537389	0.00780786
34.1825533	8.30558829	0.00716244
34.19922	8.30032227	0.0062223
34.2140633	8.30351298	0.00507
34.2299483	8.30502053	0.003882
34.24974	8.30602741	0.003
34.2664067	8.31014878	0.00267
34.2854167	8.31078174	0.002556
34.3007817	8.30688804	0.002076
34.3169283	8.3089335	0.001644
34.3346367	8.30435264	0.001224
34.3549483	8.30086006	1.22E-06
34.3729167	8.30391182	-0.001404
34.390625	8.30974223	-0.002142
34.40573	8.31829521	-0.00216
34.4205733	8.32102859	-0.001608
34.4354167	8.31820079	-0.001068
34.453125	8.31538651	-0.00114
34.4690117	8.32236075	-0.001122
34.4877617	8.32678911	-1.66E-05
34.5036467	8.32167855	0.00111
34.5208333	8.31367936	0.000828
34.5393233	8.31893157	0.0003336
34.55625	8.31845793	3.46E-05
34.5736983	8.31639139	-0.000792
34.5890633	8.31710154	-0.001626
34.6067717	8.31260194	-0.002394
34.62422	8.31684142	-0.003372
34.640625	8.32454493	-0.004026
34.659115	8.32174875	-0.004314
34.6760417	8.32555622	-0.00456
34.690625	8.33147815	-0.004068
34.708595	8.33087919	-0.00267
34.725	8.32870309	-0.001488
34.7427083	8.32894553	-0.001002
34.7614583	8.33492753	-0.000441
34.7815117	8.33388734	0.0003288
34.8002617	8.33027626	0.000618
34.8171883	8.32810348	0.0003882
34.8356783	8.32798811	1.60E-05
34.8567717	8.33104908	-0.0002472
34.875	8.33636861	-4.24E-05
34.89375	8.33148301	-0.000123
